title,price,discountedPrice,coupon,brand,size,extraDetail,productID,modelNo,frameWidth,frameDimensions,frameColour,link
Black Full Rim Round,1700,1200,SINGLE,Lenskart Air,Extra Narrow,Frame + Lens,e11482,LA E11482-XN,126 mm,48-17-145,,/lenskart-air-la-e11482-xs-c1-eyeglasses.html
Pink Full Rim Cat Eye,1700,1200,₹1700,Lenskart Air,Extra Narrow,Frame + Lens,e16567,LA E16567,129 mm,50-17-145,Pink,/lenskart-air-la-e16567-c1-eyeglasses.html
Transparent Full Rim Square,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e10118,JJ E10118,135 mm,49-20-140,Transparent,/john-jacobs-jj-e10118-c7-eyeglasses.html
Blue Full Rim Round,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e16232,VC E16232,133 mm,47-20-140,Blue,/vincent-chase-vc-e16232-c1-eyeglasses.html
Copper Full Rim Square,3000,2000,SINGLE,Lenskart Air,Wide,Frame + Lens,e15324,LA E15324,138 mm,54-15-145,,/lenskart-air-la-e15324-c1-eyeglasses.html
Blue Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e16237,VC E16237,138 mm,53-16-140,Blue,/vincent-chase-vc-e16237-c1-eyeglasses.html
Gold Brown Full Rim Square,1700,1200,₹1700,Lenskart Air,Medium,Frame + Lens,e16568,LA E16568,134 mm,50-19-145,Gold Brown,/lenskart-air-la-e16568-c2-eyeglasses.html
Black Full Rim Cat Eye,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16663,VC S16663,136 mm,53-16-140,Black,/vincent-chase-vc-s16663-c2-sunglasses.html
Green Full Rim Wayfarer,6000,5000,SINGLE,John Jacobs,Wide,,s15906,JJ S15906,139 mm,49-20-145,Green,/john-jacobs-jj-s15906-c3-sunglasses.html
Black Full Rim Aviator,2000,1500,SINGLE,Vincent Chase,Narrow,,s16526,VC S16526,132 mm,53-14-142,Black,/vincent-chase-vc-s16526-c1-sunglasses.html
Black Full Rim Wayfarer,1000,800,SINGLE,Hooper,5-8 yrs,Frame + Lens,c4,HP E15084M,120 mm,44-16-125,,/hooper-hp-e15084m-c4-eyeglasses.html
Gold Full Rim Cat Eye,1700,1200,₹1700,Lenskart Air,Extra Narrow,Frame + Lens,e16567,LA E16567,129 mm,50-17-145,Gold,/lenskart-air-la-e16567-c3-eyeglasses.html
Black Rimless Rectangle,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e15827,JJ E15827,135 mm,54-18-145,Black,/john-jacobs-jj-e15827-c2-eyeglasses.html
Blue Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s16743,VC S16743,141 mm,51-20-140,Blue,/vincent-chase-vc-s16743-c1-sunglasses.html
Black Full Rim Square,3500,2500,₹3500,John Jacobs,Wide,Frame + Lens,e11291,JJ E11291,140 mm,54-18-145,,/john-jacobs-jj-e11291-c6-eyeglasses.html
Blue Full Rim Round,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16699,VC E16699,135 mm,50-20-140,Blue,/vincent-chase-vc-e16699-c1-eyeglasses.html
Silver Blue Full Rim Rectangle,1700,1200,₹1700,Lenskart Air,Narrow,Frame + Lens,e16565,LA E16565,133 mm,53-16-145,Silver Blue,/lenskart-air-la-e16565-c1-eyeglasses.html
Black Full Rim Rectangle,1700,1200,₹1700,Lenskart Air,Extra Narrow,Frame + Lens,e16564,LA E16564,129 mm,50-17-145,Black,/lenskart-air-la-e16564-c2-eyeglasses.html
Transparent Full Rim Round,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e13319,JJ E13319,137 mm,49-20-148,Transparent,/john-jacobs-jj-e13319-c1-eyeglasses.html
Gold Maroon Half Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e13393,VC E13393-M,136 mm,54-17-140,Gold Maroon,/vincent-chase-vc-e13393-m-c1-eyeglasses.html
Silver Full Rim Geometric,3000,2000,SINGLE,Lenskart Air,Extra Narrow,Frame + Lens,e16208,LA E16208,130 mm,52-17-140,Silver,/lenskart-air-la-e16208-c2-eyeglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16350,LA E16350,137 mm,53-17-145,Blue,/lenskart-air-la-e16350-c3-eyeglasses.html
Pink Transparent Full Rim Round,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e11515,JJ E11515,134 mm,49-20-145,Pink Transparent,/john-jacobs-jj-e11515-c10-eyeglasses.html
Grey Transparent Full Rim Round,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e16644,LA E16644,133 mm,50-19-150,Grey Transparent,/lenskart-air-la-e16644-c3-eyeglasses.html
